"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Galago zanzibaricus Matschie 1893","https://scispace.com/paper/galago-zanzibaricus-matschie-1893-3xa2z9c6qyxx","2024","Repository","","Wilson, Don E.
Reeder, DeeAnn","10.5281/zenodo.11337874","","- **Relevance Score:** 27/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides detailed taxonomic and distribution info on Galago zanzibaricus from Tanzania/Zanzibar, but lacks genetic data, phylogenetic methods, or conservation‑genetic analysis.","Galago zanzibaricus Matschie 1893 Galago zanzibaricus Matschie 1893, Sitzb. Ges. Naturf. Fr. Berlin: 111. Type Locality: Tanzania, Zanzibar, Yambiani. Vernacular Names: Zanzibar Bushbaby. Synonyms: Galago cocos Heller 1912; Galago udzungwensis Honess 1997. Distribution: E African coast from Tana River, south to S Mozambique; Zanzibar. Conservation: CITES – Appendix II; IUCN – Lower Risk (nt). Discussion: G. zanzibaricus species group. Separated from senegalensis by Kingdon (1971:309), Groves (1974 b:463, 1989:103, 2001 c), Jenkins (1987:118), and Nash et al. (1989). Bearder et al. (1995) placed this group in genus Galagoides, but Groves (2001 c) considered this premature, as it is unclear how species should be assorted between Galagoides and Galago. For allocation of udzungwensis to this species, see Groves (2001 c:116). "
"Galagoudes cocos","https://scispace.com/paper/galagoudes-cocos-f60zjq9qp9is","2022","Repository","","Russell A. Mittermeier
Anthony B. Rylands
Don E. Wilson","10.5281/zenodo.6656966","","- **Relevance Score:** 27/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides detailed natural‑history, taxonomy, and East‑African distribution of Galagoides cocos, but lacks genetic data, phylogenetic methods, and conservation‑genetics analyses.","6. Kenya Coast Dwarf Galago Galagoides cocos French: Galago des cocotiers / German: Kokos-Zwerggalago / Spanish: Galago pequeno de Kenia Other common names: Diani Galago, Kenya Coast Galago Taxonomy. Galago moholi cocos Heller, 1912, Kenya, Mazeras. The so-called “Diani Galago ” is here considered to be conspecific with this species. G. cocos has been considered a subspecies or synonym of G. zanzibaricus; however, its distinct loud advertising call, penile morphology, and facial markings support its classification as a unique species. Most publications on the ecology of G. cocos prior to 2003 refer to it as G. zanzibaricus. This species is parapatric with G. zanzibaricus udzungwensis, or perhaps narrowly sympatric at a few sites in the coastal strip of north Tanzania. It is sympatric with G. orinus, and parapatric with G. grant, meeting at the Rufiji River. Monotypic. Distribution. E Kenya, NE Tanzania, and possibly S Somalia coast, largely confined to the coastal strip and gallery forests (e.g. those of the lower Tana River) up to 210 m above sea level. Descriptive notes. Head-body c.17 cm, tail ¢.27 cm; weight 155-180 g. The Kenya Coast Dwarf Galago is a small, long-muzzled species, similar to the Tanzania Coastal Dwarf Galago (G. zanzibaricus) but larger. No sexual dimorphism or dichromatism occurs in the Kenya Coast Dwarf Galago. A broad, white interocular streak continues well above the eyes, and it is enhanced by prominent circumocular rings, formed by dark skin that continues down the sides of the muzzle to form prominent tearshaped marks at the base of the muzzle. Ears are large and held at ¢.45° from the vertical plane rather than upright. The dorsum is buffy-brown, and the ventrum grayish-white, with no yellow wash on the chin or chest. The tail has a similar color to the dorsum; the distal one-third is dark buffy-brown in some individuals. Habitat. Most commonly, secondary lowland rainforest but also coastal dry, evergreen, riparian, swamp, floodplain, second-growth, and montane forests. The Kenya Coast Dwarf Galago also occurs in cultivated habitats and rural gardens. Its elevational range is sea level to 350 m. It prefers undergrowth and lower forest levels, 5 m from the ground. Food and Feeding. The Kenya Coast Dwarf Galago is a faunivore-frugivore. It eats invertebrates and passerine birds, supplemented with fruit. It forages alone and prefers to move in the small-branch niche near the ground. Fruits eaten include those of Lannea stuhlmannii (Anacardiaceae), Monanthotaxis fornicata and Uvaria acuminata (both Annonaceae), Grewia (Malvaceae), Phyllanthus (Phyllanthaceae), and Ficus (Moraceae). It eats beetles, orthopterans, centipedes, spiders, ants, termites, caterpillars, millipedes, and true bugs, catching them with both hands or by the mouth. They do not appear to eat gums. Breeding. The Kenya Coast Dwarf Galago has two birth seasons per year (February March and August—October). Gestation is ¢.120 days. Usually a single young is born, sometimes two. Infants are carried in the mother’s mouth and are parked on a branch while she forages. Infants can become independent as early as two months. Activity patterns. The Kenya Coast Dwarf Galago is nocturnal and arboreal. Their locomotion is quadrupedal, walking on medium sized branches, and vertically clinging and leaping. When jumping between vertical supports, they land front-feet-first or catlike on all four limbs at the same time. Movements, Home range and Social organization. Kenya Coast Dwarf Galagos are largely solitary, although groups of up to six have been reported sleeping in a tree hollow—the most common arrangement being one adult male with one or two females and their offspring. Sleeping site use varies; some individuals use many sites, while others are faithful to just a few. A male’s territory (2-3 ha) overlaps those of one or two females (each c.2 ha). Reciprocal social grooming has been reported. In the coastal forests of Kenya, Kenya Coast Dwarf Galagos have group home ranges of 1-6-2-8 ha. In those forests, there is a closer, regular association between the sexes, and both are probably territorial. Adult males usually have non-overlapping ranges that are shared with one or two females and their offspring. Males and females travel similar distances of 1700-1800 m each night. The male usually sleeps with these other individuals, but a mother will sleep alone for about three weeks after giving birth. Young males disperse from their natal ranges, but females remain in the area and first give birth at about twelve months. The Kenya Coast Dwarf Galago has an “incremental” advertising counter-call, which is heard from both sexes, most often at the beginning and end of the night. A number of other calls make up the species’ vocal repertoire, including the buzz and rapid chatter, yaps, and “chirrups.” Status and Conservation. CITES Appendix II. Classified as Least Concern on The [UCN Red List. The Kenya Coast Dwarf Galago is quite widespread and abundant, butit is locally threatened over much ofits distribution by conversion of suitable habitat to cultivated land, especially non-timber plantations of pineapple and sisal. Nevertheless, it is able to persist in high numbers in agricultural areas with good tree coverage. It occurs in Arabuko-Sokoke National Park, Shimba Hills National Reserve, and Tana River Primate Reserve in Kenya. Bibliography. Bearder & Martin (1980b), Bearder, Ambrose et al. (2003), Bearder, Honess & Ambrose (1995), de Boer (1973), Butynski & de Jong (2004), Butynski et al. (2006), Courtenay & Bearder (1989), Gucwinska & Gucwinska (1968), Harcourt (1984, 1986a), Harcourt & Nash (1986a, 1986b), de Jong & Butynski (2004), Nash (1983, 1986b), Nash et al. (1989), Perkin (2007). "
"Assessing Ecological Divergence and Speciation Scenarios of the Paragalago zanzibaricus Species Complex Through Climatic Niche Modeling","https://scispace.com/paper/assessing-ecological-divergence-and-speciation-scenarios-of-2l45qn80","2023","Journal Article","International Journal of Primatology","Evan Miller
Averee M. Luhrs
Amanda N. Mancini
Mary E. Blair
Luca Pozzi","10.1007/s10764-023-00374-7","https://par.nsf.gov/servlets/purl/10510335","- **Relevance Score:** 27/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses niche modeling to explore ecological divergence of Paragalago zanzibaricus in East Africa, focusing on distribution and biogeography, but lacks genetic, coalescent, or conservation‑genetic analyses.",""
"A field Study on the conservation status and species diversity of galagos in Tanzania, July – December 1999","https://scispace.com/paper/GRHVTUV2","","Journal Article","","Tina Santilli","","https://www.zotero.org/johankarlssonk9/items/GRHVTUV2/attachment/4ZCM95X3/reader","- **Relevance Score:** 27/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses extensive field surveys to document galago presence across Tanzanian forests, providing new distribution records and noting a first capture since 1926; lacks genetic, phylogenetic, or modeling components required by most criteria.","The survey was conducted during the period July-December 2000. Forest reserves in the following areas were surveyed: the Uluguru Mountains and lowlands, the Luhombero and Nyumbanito forests in the Udzungwa Mountains National Park, the Mahenge foothills and Miombo woodlands, and forests of the Taita Hills in Kenya. Of the Eastern Arc forests the Mountain galago was found to be present at Luhombero forest, Uluguru North and South FRs, and Mkungwe FR (Mkungwe FR is part of the Uluguru Mountains). At Mkungwe FR a Mountain Galago was trapped for the first time since the capture of the type specimen in 1926. This captured animal is providing important additional information on type description of this species and may even be described as a paratype. The animal was released unharmed. The survey of the Nyumabanito and Luhombero forests, which has never been surveyed for primates, revealed populations of the Mountain galago and the endemic Iringa Red Colobus Piliocolobus gordonorum but no Sanje Mangabeys were found. Namakutwa/Kiwengoma FR was not visited due transport problems. Instead a previously unsurveyed forest, Nambiga FR also south of Rufiji River in Mahenge district was visited. Here Grant’s galago was found which further shows that the Rufiji River is a biological boundary between the Zanzibar galago and this species. Interestingly the Rondo and Garnett’s galagos were not found. Zanzibar and Garnett’s galagos were found in Ruvu FR."
"The primates of the Udzungwa Mountains: diversity, ecology and conservation.","https://scispace.com/paper/the-primates-of-the-udzungwa-mountains-diversity-ecology-and-13xsli61gr","2009","","","Francesco Rovero
Andrew R. Marshall
Trevor Jones
Andrew Perkin","","https://scispace.com/pdf/the-primates-of-the-udzungwa-mountains-diversity-ecology-and-13xsli61gr.pdf","- **Relevance Score:** 27/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides ecological and conservation info on Udzungwa dwarf galagos, but lacks genetic, phylogenetic, or diversification analyses.","The Udzungwa Mountains are one of the most important areas in Africa for primate diversity and conservation, with two endemic monkeys (Udzungwa red colobus Procolobus gordonorum and Sanje mangabey Cercocebus [galeritus] sanjei), and the near-endemic kipunji monkey Rungwecebus kipunji, a new genus and species discovered in 2004 and found in Udzungwa and Southern Highlands. With six species of galagos, or bushbabies, the area is also of exceptional importance for nocturnal primates. The form of Mountain galago Galagoides orinus occurring in the Udzungwa Mountains appears to be distinct on the base of vocalizations, and further work will be required to assess its taxonomic status. The primate community reflects the overall, exceptional biodiversity of these isolated and ancient mountains. The Udzungwa are part of the Eastern Arc mountain chain, a centre of global importance for biodiversity and endemism. Of all the Eastern Arc Mountain blocks, the Udzungwa have the largest forested area, widest altitudinal gradient and greatest habitat diversity. We review current knowledge on the diversity and distribution of the primate community of the Udzungwa Mountains, with an emphasis on ecology and conservation."
"Distribution, population density, and behavior of dwarf galagos (Paragalago sp.) in Taita Hills, Kenya","https://scispace.com/paper/distribution-population-density-and-behavior-of-dwarf-1kekxnt25h","2023","Journal Article","International Journal of Primatology","Hanna Rosti
Janne Heiskanen
Simon K. Bearder
Benson Lombo
Henry Sebastian Pihlström
Petri Pellikka
Jouko Rikkinen","10.1007/s10764-023-00390-7","https://researchportal.helsinki.fi/files/477964946/s10764-023-00390-7.pdf","- **Relevance Score:** 27/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides acoustic and habitat data on Paragalago in Kenya, addressing distribution and conservation, but lacks genetic analyses, phylogenetic methods, and diversification modeling.","Abstract A good understanding of taxonomy, distribution, and population density is needed for conservation. Scientific knowledge of dwarf galagos ( Paragalago sp.) remains limited. Two populations of Taita dwarf galagos survive in the largest remnants of moist montane forest in Taita Hills, Kenya. We obtained acoustic data on the two remaining populations using AudioMoths—small, passive recorders—more than 231 h in January and February 2021. We measured forest structure by using airborne LiDAR and ground-level observations and tested the influence of forest size and height, canopy coverage, and density on calls per hour as an indicator of population density. Forest size significantly affected population size. Taita dwarf galagos prefer dense canopy coverage, and they prefer the lower 20–30-m tall forest. Mbololo forest (185 ha) has steady population, whereas dwarf galagos are nearly extinct in Ngangao forest (120 ha). The calls of Taita dwarf galagos resemble those of Kenya coast dwarf galagos ( Paragalago cocos ). DNA studies are urgently needed to resolve the taxonomic status of both surviving populations of dwarf galagos in the Taita Hills. This simple study design should be conducted across African forests to obtain crucial knowledge for galago conservation. "
"Comparative penile morphology of East African galagos of the genus <i>Galagoides</i> (family Galagidae): implications for taxonomy","https://scispace.com/paper/EYA9YKSR","01/2007","Journal Article","American Journal of Primatology","Andrew Perkin","10.1002/ajp.20323","https://www.zotero.org/johankarlssonk9/items/EYA9YKSR/attachment/SIQCT3EZ/reader","- **Relevance Score:** 27/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses penile morphology to differentiate East African dwarf galagos, offering strong taxonomic and geographic relevance, but provides no genetic, phylogenetic, or conservation‑genetic data.","Abstract
            
              Recent studies on the comparative penile morphology of galagos have revealed complex patterns that vary among both genera and species, and help with species identification. So far the penile morphologies of 14 galago species have been described and an identification key has been proposed. The present study extends and revises previous work. Wild
              Galagoides cocos, G. granti, G. zanzibaricus
              and
              G. rondoensis
              from the Eastern Arc Mountains and coastal forests of Tanzania and Kenya were live‐trapped, and one species (
              G. orinus
              ) was examined using a museum specimen. Penile morphology was photographed, traced, and described qualitatively. All of the mature males had penile spines. Spines were absent or indistinct in immature males of all of the species. The penile morphologies of
              G. cocos, G. granti
              , and
              G. zanzibaricus
              are similar in their overall distribution and type of spines, but differ in the shape of the glans penis. Both
              G. orinus
              and
              G. rondoensis
              have divergent penile morphologies compared to all other galagos, and are probably phylogenetically distinct. The results support other recent morphological and behavioral studies that consider these five galagos to be distinct species. The evolution of the baculum and spines is thought to be linked to sexual selection in multimale mating systems, but the mechanisms involved are not entirely understood. Adult male
              G. rondoensis
              appear to display the penile spines by exposing the distal section of the penis. Am. J. Primatol. 68:16–26, 2007. © 2006 Wiley‐Liss, Inc."
"Combining Biogeographic and Phylogenetic Data to Examine Primate Speciation: An Example Using Cercopithecin Monkeys","https://scispace.com/paper/combining-biogeographic-and-phylogenetic-data-to-examine-470s13zbb9","2009","Journal Article","Biotropica","Jason M. Kamilar
Sara K. Martin
Anthony J. Tosi","10.1111/J.1744-7429.2009.00513.X","","- **Relevance Score:** 25/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses mtDNA and nuclear Y/X markers; discusses forest cycles driving allopatric speciation, but focuses on Cercopithecini monkeys, not galagos, and lacks coalescent or delimitation analyses.","We combined phylogenetic and biogeographic data to examine the mode of speciation in a group of African monkeys, the Cercopithecini. If allopatric speciation is the major force producing species, then there should be a positive relationship between the relative divergence time of taxa and their degree of geographic range overlap. Alternatively, an opposite relationship between divergence time and geographic range overlap is consistent with sympatric speciation as the main mechanism underlying the cercopithecin radiation. We collected biogeographic and phylogenetic data for 19 guenon species from the literature. We digitized geographic range maps and utilized three different phylogenetic hypotheses based on Y chromosome, X chromosome, and mitochondrial (mtDNA) data. We used regressions with Monte Carlo simulation to examine the relationship between the relative time since divergence of taxa and their degree of geographic range overlap. We found that there was a positive relationship between relative divergence time and the proportion of geographic range overlap between taxa using all three molecular data sets. Our findings provide evidence for allopatric speciation being the common mode of diversification in the cercopithecin clade. Because most of these primates are forest adapted mammals, the cyclical contraction and expansion of African forests from the late Miocene to the present has likely been an important factor driving allopatric speciation. In addition, geographic barriers such as the Congo and Sanaga rivers have probably played a complementary role in producing new species within the clade."
"An Integrative Approach for Understanding Diversity in the Punctelia rudecta Species Complex (Parmeliaceae, Ascomycota)","https://scispace.com/paper/an-integrative-approach-for-understanding-diversity-in-the-1ocokdq2ev","2016","Journal Article","PLOS ONE","David Alors
H. Thorsten Lumbsch
Pradeep K. Divakar
Steven D. Leavitt
Ana Crespo","10.1371/JOURNAL.PONE.0146537","https://scispace.com/pdf/an-integrative-approach-for-understanding-diversity-in-the-1ocokdq2ev.pdf","- **Relevance Score:** 25/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses multilocus coalescent species‑tree and BP&P delimitation with Bayesian dating; however, focuses on lichen taxonomy, not African primates or related conservation topics.","High levels of cryptic diversity have been documented in lichenized fungi, especially in Parmeliaceae, and integrating various lines of evidence, including coalescent-based species delimitation approaches, help establish more robust species circumscriptions. In this study, we used an integrative taxonomic approach to delimit species in the lichen-forming fungal genus Punctelia (Parmeliaceae), with a particular focus on the cosmopolitan species P. rudecta. Nuclear, mitochondrial ribosomal DNA and protein-coding DNA sequences were analyzed in phylogenetic and coalescence-based frameworks. Additionally, morphological, ecological and geographical features of the sampled specimens were evaluated. Five major strongly supported monophyletic clades were recognized in the genus Punctelia, and each clade could be characterized by distinct patterns in medullary chemistry. Punctelia rudecta as currently circumscribed was shown to be polyphyletic. A variety of empirical species delimitation methods provide evidence for a minimum of four geographically isolated species within the nominal taxon Punctelia rudecta, including a newly described saxicolous species, P. guanchica, and three corticolous species. In order to facilitate reliable sample identification for biodiversity, conservation, and air quality bio-monitoring research, these three species have been epitypified, in addition to the description of a new species."
"Integrative taxonomy resolves a new West African Crocidura (Mammalia: Soricidae) species, cryptic to Crocidura grandiceps in color, but distinct in size","https://scispace.com/paper/Y_2SgO-AmDUJ","","","","I Voet
A Delapre
C Denys
A Lalis","","https://hal.science/hal-05515101v1/file/3197-Article%20Text-14013-1-10-20260217.pdf","- **Relevance Score:** 25/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses multilocus BPP species‑tree and coalescent modeling for shrew taxonomy; lacks primate focus, East African sampling, and detailed mitochondrial‑nuclear marker set; only partial species‑delimitation without dating.",""
"Species boundaries and biogeography of East African torrent frogs of the genus Petropedetes (Amphibia: Anura: Petropeditidae)","https://scispace.com/paper/species-boundaries-and-biogeography-of-east-african-torrent-26u5y4ukr0","2013","Journal Article","African Journal of Herpetology","Simon P. Loader
F. Sara Ceccarelli
Mark Wilkinson
Michele Menegon
Jean Mariaux
Rafael O. de Sá
Kim M. Howell
David J. Gower","10.1080/21564574.2013.781549","","- **Relevance Score:** 25/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Study of East African torrent frogs uses mitochondrial and nuclear loci to delimit species and examine biogeography, but it does not involve galagos, coalescent modeling, or primate conservation genetics.","Based on morphology there are currently three described East African species of torrent frogs belonging to the tropical African genus Petropedetes (P. dutoiti, P. martiennseni and P. yakusini). Taxonomic uncertainties are evident within this group: a putative new species reported from the Nguru Mountains and the species P. yakusini have a fragmented distribution across the Southern Tanzanian highlands. We conducted a molecular systematic study, sampling populations of East African petropedetids occurring in the mountains of Tanzania (P. martiennseni and P. yakusini), to investigate species boundaries and biogeography. Data provide evidence for the recognition of well-defined genetically distinct populations occurring in each mountain fragment (for P. yakusini), and further support for a new undescribed species from the Nguru Mountains. We examine phylogenetic patterns in relation to the biogeographic history of the region."
"How to cross the desert if you are small and need mountains? Out‐of‐Ethiopia dispersal in Afromontane shrews","https://scispace.com/paper/how-to-cross-the-desert-if-you-are-small-and-need-mountains-1bx3rrue3h","2023","Journal Article","Journal of Biogeography","Malahatosadat Dianat
Adam Konečný
Leonid A. Lavrenchenko
Julian C. Kerbis Peterhans
Terrence C. Demos
Violaine Nicolas
David Jude Ortiz
Josef Bryja","10.1111/jbi.14748","","- **Relevance Score:** 25/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses mtDNA and ddRAD SNPs to infer shrew phylogeny across the Ethiopian Highlands, providing East African biogeographic insight, but lacks primate focus, MSC modeling, and explicit species‑tree or dating analyses.","The Eastern Afromontane Biodiversity Hotspot (EABH) offers an ideal location to investigate the evolutionary mechanisms producing a high level of endemic biodiversity. We tested the hypothesis that the cradle of Eastern Afromontane diversity is in the largest sub‐region of the EABH montane archipelago, that is the Ethiopian Highlands. Further, we expected that climate oscillations followed by elevational shifts in montane habitats facilitated the dispersal of small mammal populations across unsuitable arid lowlands.Mountains and highlands of East Africa.Shrews of the genus Crocidura (Eastern Afromontane phylogenetic clade).We collected comprehensive genetic data from 511 (mitochondrial gene for cytochrome b) and 147 (double digest Restriction‐Associated DNA sequencing) samples of Crocidura shrews across the EABH. We estimated phylogenetic relationships with Bayesian and Maximum Likelihood approaches. Population genetic analyses were performed in STRUCTURE to evaluate the internal structure of species outside Ethiopia. Ancestral area and dispersal routes were analysed by the BioGeoBears package.Six major phylogenomic clades were delimited based on concatenated nuclear loci. The mitochondrial phylogeny roughly matches nuclear phylogenies, but with poorer resolution. Five of the six revealed clades are restricted to the Ethiopian Highlands, which is unambiguously the cradle of the diversity of this group of mammals (also confirmed by the biogeographic analysis). All non‐Ethiopian and a single Ethiopian species fall into the sixth clade with poorly resolved internal relationships. Detailed population genetic analysis of SNP data revealed a pronounced structure with multiple gene pools in this clade; however, this structure only partly corresponds with the current taxonomy.Eastern Afromontane Crocidura shrews originated in the Ethiopian Highlands. They radiated there, and through a single southward dispersal event across the Turkana depression, they colonised the rest of the EABH in response to diverse geomorphology and climatic changes during the Plio‐Pleistocene."
"Multispecies coalescent and its applications to infer species phylogenies and cross-species gene flow","https://scispace.com/paper/multispecies-coalescent-and-its-applications-to-infer-3c70cd0uo3","2021","Journal Article","National Science Review","Xiyun Jiao
Xiyun Jiao
Tomas Flouri
Ziheng Yang","10.1093/NSR/NWAB127","https://scispace.com/pdf/multispecies-coalescent-and-its-applications-to-infer-3c70cd0uo3.pdf","- **Relevance Score:** 25/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Reviews MSC theory and multilocus species‑tree methods in depth, but provides no empirical data on African dwarf galagos, markers, East African sampling, conservation, or fragmentation.","Abstract Multispecies coalescent (MSC) is the extension of the single-population coalescent model to multiple species. It integrates the phylogenetic process of species divergences and the population genetic process of coalescent, and provides a powerful framework for a number of inference problems using genomic sequence data from multiple species, including estimation of species divergence times and population sizes, estimation of species trees accommodating discordant gene trees, inference of cross-species gene flow and species delimitation. In this review, we introduce the major features of the MSC model, discuss full-likelihood and heuristic methods of species tree estimation and summarize recent methodological advances in inference of cross-species gene flow. We discuss the statistical and computational challenges in the field and research directions where breakthroughs may be likely in the next few years."
"Nodule worm infection in humans and wild primates in Uganda: cryptic species in a newly identified region of human transmission.","https://scispace.com/paper/24421915","2014","Journal Article","PLoS neglected tropical diseases","Ghai
Chapman
Omeja
Davies
Goldberg","10.1371/journal.pntd.0002641","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3888470/pdf","- **Relevance Score:** 25/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** East African focus: samples from Uganda. Uses multilocus parasite phylogenies with mitochondrial and nuclear markers, includes species delimitation and dating. No galagos, coalescent modeling, or primate conservation aspects.","Soil-transmitted helminths (STHs) are a major health concern in tropical and sub-tropical countries. Oesophagostomum infection is considered endemic to West Africa but has also been identified in Uganda, East Africa, among primates (including humans). However, the taxonomy and ecology of Oesophagostomum in Uganda have not been studied, except for in chimpanzees (Pan troglodytes), which are infected by both O. bifurcum and O. stephanostomum."
"Galago nyasae Elliot 1907","https://scispace.com/paper/galago-nyasae-elliot-1907-s9p3qr2g3jib","2024","Repository","","Wilson, Don E.
Reeder, DeeAnn","10.5281/zenodo.11337856","","- **Relevance Score:** 24/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides taxonomic and distribution details for Galago nyasae in Malawi, fitting African dwarf galago focus and East African biogeography, but lacks genetic, phylogenetic, or conservation‑genetic analyses.","Galago nyasae Elliot 1907 Galago nyasae Elliot 1907, Ann. Mag. Nat. Hist., ser. 7, 20: 188. Type Locality: Mozambique, mountains south of Lake Malawi. Vernacular Names: Malawi Bushbaby. Distribution: S Malawi and neighbouring region of Mozambique. Conservation: CITES – Appendix II. Discussion: G. zanzibaricus species group. An undescribed taxon occurs on Mt. Cholo, Malawi; vocalizations of the ""Kalwe small"" galago (Bearder et al., 1995) may pertain to either of these (Groves, 2001 c:113). "
"The biological importance of the Eastern Arc Mountains of Tanzania and Kenya","https://scispace.com/paper/burgess-et-al-2007-the-biological-importance-of-the-eastern-vxejtyx3","2006","","Biological Conservation","N.D. Burgess
T.M. Butynski
N.J. Cordeiro
N.H. Doggart
J. Fjeldså
K.M. Howell
F.B. Kilahama
S.P. Loader
J.C. Lovett
B. Mbilinyi
M. Menegon
D.C. Moyer
E. Nashanda
A. Perkin
F. Rovero
W.T. Stanley
S.N. Stuart","10.1016/j.biocon.2006.08.015","https://scispace.com/records/burgess-et-al-2007-the-biological-importance-of-the-eastern-vxejtyx3","- **Relevance Score:** 24/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Eastern Arc biodiversity data to highlight endemic galagos and conservation importance; lacks genetic analyses, species‑tree or coalescent methods, and detailed phylogeography.","The Eastern Arc Mountains are renown in Africa for high concentrations of endemic species of animals and plants. Thirteen separate mountain blocks comprise the Eastern Arc, supporting around 3300 km² of sub-montane, montane and upper montane forest, less than 30% of the estimated original forested area. At least 96 vertebrate species are endemic, split as follows: 10 mammal, 19 bird, 29 reptile and 38 amphibian species. This includes four endemic or nearly endemic species of primate – the Sanje Mangabey, the Iringa Red Colobus, the Mountain Galago and the new Kipunji monkey that forms its own monotypic genus. A further 71 vertebrate species are near-endemic. At least 800 vascular plant species are endemic, almost 10% of these being trees. These endemics include the majority of the species of African violet – Saintpaulia, a well-known flowering plant in Western households. An additional 32 species of bryophytes are also endemic. Many hundreds of invertebrates are also likely to be endemic, with data for butterflies, millipedes and dragonflies indicating potential trends in importance. Seventy-one of the endemic or near-endemic vertebrates are threatened by extinction (8 critical, 27 endangered, 36 vulnerable), with an additional seven wide ranging threatened species. Hundreds of plant species are also threatened."
"Climate Change Raises Concerns for the Conservation of the Threatened Mountain Dwarf Galago (Paragalago orinus)","https://scispace.com/paper/De_jG7zoXY4J","","","","E Miller","","https://www.researchgate.net/profile/Evan-Miller-14/publication/392237537_Climate_Change_Raises_Concerns_for_the_Conservation_of_the_Threatened_Mountain_Dwarf_Galago_Paragalago_orinus/links/683a0f34df0e3f544f5c02c3/Climate-Change-Raises-Concerns-for-the-Conservation-of-the-Threatened-Mountain-Dwarf-Galago-Paragalago-orinus.pdf","- **Relevance Score:** 24/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses climate‑impact modeling for Paragalago orinus in Tanzania; strong focus on African dwarf galagos and East African range, but lacks genetic, phylogenetic, or diversification analyses.",""
"A giant among dwarfs: a new species of galago (Primates: Galagidae) 2 from Angola","https://scispace.com/paper/MX4Nn9bOLMkJ","","","","AP Nijman
JC Masters
S Couette
KAI Nekaris","","https://radar.brookes.ac.uk/radar/file/d1c05dec-15cf-48fb-806f-bba8d0e95388/1/svensson2017giant(2).pdf","- **Relevance Score:** 24/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Describes a new dwarf galago species from Angola, providing taxonomic and biogeographic insight on African galagos, but lacks multilocus phylogenetics, East African focus, and detailed conservation genetics.",""
