"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Quantitatively defining species boundaries with more efficiency and more biological realism","https://scispace.com/paper/quantitatively-defining-species-boundaries-with-more-ap81yfv5","2022","Journal Article","Communications biology","Jordan Douglas
Remco R. Bouckaert","10.1038/s42003-022-03723-z","","- **Relevance Score:** 28/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Presents a multispecies coalescent delimitation method (StarBeast3) applied to galagos, but lacks specific focus on dwarf galagos, East African refugia, primate markers, or southern African conservation.","Abstract We introduce a widely applicable species delimitation method based on the multispecies coalescent model that is more efficient and more biologically realistic than existing methods. We extend a threshold-based method to allow the ancestral speciation rate to vary through time as a smooth piecewise function. Furthermore, we introduce the cutting-edge proposal kernels of StarBeast3 to this model, thus enabling rapid species delimitation on large molecular datasets and allowing the use of relaxed molecular clock models. We validate these methods with genomic sequence data and SNP data, and show they are more efficient than existing methods at achieving parameter convergence during Bayesian MCMC. Lastly, we apply these methods to two datasets ( Hemidactylus and Galagidae ) and find inconsistencies with the published literature. Our methods are powerful for rapid quantitative testing of species boundaries in large multilocus datasets and are implemented as an open source BEAST 2 package called SPEEDEMON. "
"Climate Change Raises Concerns for the Conservation of the Threatened Mountain Dwarf Galago (Paragalago orinus)","https://scispace.com/paper/De_jG7zoXY4J","","","","E Miller","","https://www.researchgate.net/profile/Evan-Miller-14/publication/392237537_Climate_Change_Raises_Concerns_for_the_Conservation_of_the_Threatened_Mountain_Dwarf_Galago_Paragalago_orinus/links/683a0f34df0e3f544f5c02c3/Climate-Change-Raises-Concerns-for-the-Conservation-of-the-Threatened-Mountain-Dwarf-Galago-Paragalago-orinus.pdf","- **Relevance Score:** 28/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses climate‑change impact assessment for Paragalago orinus; mentions regional phylogeny and forest refugia but lacks coalescent analyses, detailed marker protocols, and southern‑African focus.",""
"Does the Spectacled Lesser Galago Galago matschiei Lorenz, 1917 (Primates: Strepsirrhini: Galagidae) Occur East of Uganda's Lake Victoria-Nile River Basin …","https://scispace.com/paper/gzrdTgUaDlQJ","","","","TM Butynski
YA de Jong","","https://www.wildsolutions.nl/wp-content/uploads/ButynskiDe_Jong-2025-Galago_matschiei.pdf","- **Relevance Score:** 28/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides detailed East African dwarf galago taxonomy and distribution; mentions regional forest habitats but lacks deep refugia analysis; no MSC methods, limited marker discussion, and no southern African focus.",""
"Hidden in the Dark: A Review of Galagid Systematics and Phylogenetics","https://scispace.com/paper/penna-and-pozzi-2024-hidden-in-the-dark-a-review-of-galagid-piufk1sg","2024","","International Journal of Primatology","Anna Penna
Luca Pozzi","10.1007/s10764-024-00430-w","https://scispace.com/records/penna-and-pozzi-2024-hidden-in-the-dark-a-review-of-galagid-piufk1sg","- **Relevance Score:** 28/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides a comprehensive review of Paragalago and Galagoides taxonomy and phylogeny in East Africa; does not discuss multispecies coalescent, Pleistocene refugia, detailed molecular markers, or southern African conservation genetics.","An accurate representation of species diversity is critical in primatology; most of the questions in evolutionary biology, ecology, and conservation hinge on species as a fundamental unit of analysis. Galagos are among the least-known primates. Because of their cryptic morphology, broad distribution, and sampling challenges arising from elusive habits and political instability, substantial knowledge gaps about their taxonomy, evolutionary history, and biogeography remain. Despite these limitations, recent research that integrated field surveys, acoustic, morphological, and genetic analyses helped us to better understand the taxonomic diversity of this primate group. In this paper, we (1) review the current status of galagid taxonomy; (2) synthesize our current understanding of their phylogenetics, origins, and biogeography; and (3) explore current and future approaches to elucidate galagid cryptic species diversity. The onset of galago systematics dates back to the early 19th century, with taxonomic descriptions following natural history expeditions and comparative anatomy studies. Although morphology has historically dominated systematic research on galagos, the coupling of acoustic analyses with genetic data has revolutionized the field. Taxonomic rearrangements include the discovery of new species in the wild (e.g., Galagoides kumbirensis) and the description of a new genus (Paragalago). Technological advances have allowed the collection of acoustic data in remote areas, and molecular techniques have the potential to help researchers fill important geographic gaps. Improving the resolution of galago species diversity also has implications for the conservation of wild populations, as a better understanding of species boundaries and ranges can aid in the implementation of conservation strategies."
"Parallel diversification of the African tree toad genus Nectophryne (Bufonidae)","https://scispace.com/paper/parallel-diversification-of-the-african-tree-toad-genus-3j0sv5l8mn","2021","Journal Article","Molecular Phylogenetics and Evolution","H. Christoph Liedtke
Diego J. Soler-Navarro
Ivan Gomez-Mestre
Simon P. Loader
Mark-Oliver Rödel","10.1016/J.YMPEV.2021.107184","http://digital.csic.es/bitstream/10261/241047/1/Iv%c3%a1n.pdf","- **Relevance Score:** 27/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses BPP multispecies coalescent for toad clades, illustrating the method; no galago or primate focus; limited forest context; discusses 16S and RAG1 markers, but not primate‑specific.",""
"Introduction to the Special Issue on What They Do in the Shadows: New Perspectives on Africa’s Nocturnal Bushbabies","https://scispace.com/paper/introduction-to-the-special-issue-on-what-they-do-in-the-4b6h94xrvie1","2024","Journal Article","International Journal of Primatology","Frank P. Cuozzo
Michelle L. Sauther
Luca Pozzi
John K. Dalton","10.1007/s10764-024-00476-w","","- **Relevance Score:** 27/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides a broad overview of bushbaby evolution and conservation, touching on East African dwarf galago phylogeny and forest refugia, but lacks detailed coalescent methods, marker protocols, or southern African genetic studies.","a summary of their evolution and divergence from other primate clades, comments on their conservation status"
"A new genus for the eastern dwarf galagos (Primates: Galagidae)","https://scispace.com/paper/masters-et-al-2017-a-new-genus-for-the-eastern-dwarf-galagos-7sjzqdo4","","","ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY","Judith C. Masters
Fabien Génin
Sébastien Couette
Colin P. Groves
Stephen D. Nash
Massimiliano Delpero
Luca Pozzi","10.1093/zoolinnean/zlw028","https://scispace.com/records/masters-et-al-2017-a-new-genus-for-the-eastern-dwarf-galagos-7sjzqdo4","- **Relevance Score:** 27/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides a comprehensive phylogenetic and taxonomic revision of eastern dwarf galagos, proposing Paragalago, but lacks coalescent analyses, refugia context, detailed marker protocols, and southern African focus.","The family Galagidae (African galagos or bushbabies) comprises five genera: Euoticus Gray 1872; Galago Geoffroy Saint-Hilaire, 1796; Galagoides Smith, 1833; Otolemur Coquerel, 1859; and Sciurocheirus Gray, 1872, none of which is regarded as monotypic, but some (Euoticus, Otolemur) certainly qualify as oligotypic. We argue for the recognition of a sixth genus, if the taxonomy is to reflect galagid evolution accurately. Genetic evidence has consistently demonstrated that the taxa currently referred to the genus Galagoides are not monophyletic, but form two clades (a western and an eastern clade) that do not share an exclusive common ancestor; we review 20 years of genetic studies that corroborate this conclusion. Further, we compare vocalisations emitted by small-bodied galagids with proposed phylogenetic relationships, and demonstrate congruence between these data sets. Morphological evidence, however, is not entirely congruent with genetic reconstructions; parallel dwarfing in the two clades has led to convergences in skull size and shape that have complicated the classification of the smaller species. We present a craniodental morphometric analysis of small-bodied galagid genera that identifies distinguishing characters for the genera, and supports our proposal that five taxa currently subsumed under Galagoides (Gs cocos, Gs granti, Gs orinus, Gs rondoensis and Gs zanzibaricus) be placed in their own genus, for which we propose the name Paragalago."
"… diversity and divergence dating of Angolan colobus monkeys (Colobus angolensis) in the eastern forests of Kenya and Tanzania: Implications for subspeciation and …","https://scispace.com/paper/VIx9fkSWwzoJ","","","","MM McDonald
PMK Cunneyworth","","","- **Relevance Score:** 27/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses forest fragment sampling to infer divergence dates and refugia patterns, offering strong insight into East African forest phylogeography. Mentions mitochondrial and nuclear loci for colobus delimitation, but lacks focus on multispecies coalescent frameworks and provides no galago content.",""
"Assessment of the Diversity of African Primates","https://scispace.com/paper/grubb-et-al-2003-assessment-of-the-diversity-of-african-lujudh7y","2003","","International Journal of Primatology","Peter Grubb
Thomas M. Butynski
John F. Oates
Simon K. Bearder
Todd R. Disotell
Colin P. Groves
Thomas T. Struhsaker","","https://scispace.com/records/grubb-et-al-2003-assessment-of-the-diversity-of-african-lujudh7y","- **Relevance Score:** 27/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses mitochondrial rRNA divergence to discuss dwarf galago taxonomy; lacks coalescent analyses, broad phylogeographic context, detailed marker panels, and southern African conservation focus.","This account of the systematics of African primates is the consensus view of a group of authors who attended the Workshop of the IUCN/SSC Primate Specialist Group held at Orlando, Florida, in February 2000. We list all species and subspecies that we consider to be valid, together with a selected synonymy for all names that have been controversial in recent years or that have been considered to be valid by other authors in recent publications. For genera, species-groups or species, we tabulate and discuss different published systematic interpretations, with emphasis on more recent publications. We explain why we have adopted our taxonomic treatment and give particular attention to cases where more research is urgently required and in which systematic changes are most likely to be made. For all taxa, from suborder to subspecies, we provide English names."
"Lack of Congruence Between Morphological and Molecular Data in Reconstructing the Phylogeny of the Galagonidae","https://scispace.com/paper/masters-and-brothers-2002-lack-of-congruence-between-chqumgux","2002","","American Journal of Physical Anthropology","Judith C. Masters
Denis J. Brothers","10.1002/ajpa.10001","https://scispace.com/records/masters-and-brothers-2002-lack-of-congruence-between-chqumgux","- **Relevance Score:** 27/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses mtDNA vs craniodental data to assess dwarf galago relationships in East Africa; lacks coalescent frameworks, refugia analysis, southern African focus, and detailed marker panels.","Published cladistic reconstructions of galagonid phylogeny based on morphological, behavioral, and genetic data have had few elements in common. A recent molecular study indicated that 2 of the 3 generic groupings derived from morphological data were not consistent with tree topologies constructed from the analysis of mitochondrial DNA sequences. In this study, we compiled and analyzed a data set based on craniodental morphology in 13 galagonid and 8 outgroup taxa, comprising 3 dwarf-lemur and 5 loris species, and subjected it to cladistic analysis. Our aim was not only to generate a new phylogenetic hypothesis based on these data, but also to investigate the conditions under which congruence could be achieved between these results and those obtained previously. The data set was found to be highly sensitive to the choice of outgroup, with the lorises showing high interspecific variability in cranial structure. Congruence between the craniodental and molecular trees could be achieved only if Arctocebus was used as the outgroup and two characters were preferentially weighted. Further progress in the reconstruction of galagonid phylogeny will require seeking consensus in a variety of other data sets, including postcranial morphology, behavior, and additional gene sequences. The effect of different outgroups on molecular analysis needs attention. Am J Phys Anthropol 117:79-93, 2002. © 2002 Wiley-Liss, Inc."
"Species discovery and validation in a cryptic radiation of endangered primates: coalescent‐based species delimitation in Madagascar's mouse lemurs","https://scispace.com/paper/species-discovery-and-validation-in-a-cryptic-radiation-of-883rebqpdm","2016","Journal Article","Molecular Ecology","Scott Hotaling
Mary Foley
Nicolette M Lawrence
Jose L. Bocanegra
Marina B. Blanco
Rodin M. Rasoloarison
Rodin M. Rasoloarison
Peter M. Kappeler
Meredith A. Barrett
Anne D. Yoder
David W. Weisrock","10.1111/MEC.13604","","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Bayesian multispecies coalescent to delimit mouse lemur species; evaluates mtDNA and multilocus markers for primate delimitation. No content on dwarf galagos, East African forests, or southern African galago conservation.","Implementation of the coalescent model in a Bayesian framework is an emerging strength in genetically based species delimitation studies. By providing an objective measure of species diagnosis, these methods represent a quantitative enhancement to the analysis of multilocus data, and complement more traditional methods based on phenotypic and ecological characteristics. Recognized as two species 20 years ago, mouse lemurs (genus Microcebus) now comprise more than 20 species, largely diagnosed from mtDNA sequence data. With each new species description, enthusiasm has been tempered with scientific scepticism. Here, we present a statistically justified and unbiased Bayesian approach towards mouse lemur species delimitation. We perform validation tests using multilocus sequence data and two methodologies: (i) reverse-jump Markov chain Monte Carlo sampling to assess the likelihood of different models defined a priori by a guide tree, and (ii) a Bayes factor delimitation test that compares different species-tree models without a guide tree. We assess the sensitivity of these methods using randomized individual assignments, which has been used in bpp studies, but not with Bayes factor delimitation tests. Our results validate previously diagnosed taxa, as well as new species hypotheses, resulting in support for three new mouse lemur species. As the challenge of multiple researchers using differing criteria to describe diversity is not unique to Microcebus, the methods used here have significant potential for clarifying diversity in other taxonomic groups. We echo previous studies in advocating that multiple lines of evidence, including use of the coalescent model, should be trusted to delimit new species."
"Conservation phylogenetics and computational species delimitation of Neotropical primates","https://scispace.com/paper/conservation-phylogenetics-and-computational-species-1s1rdafxz2","2018","Journal Article","Biological Conservation","Beatriz Mello
Júlio F. Vilela
Carlos G. Schrago","10.1016/J.BIOCON.2017.11.017","","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses multispecies coalescent and marker panels for delimiting Neotropical primates; no coverage of African galagos, East African forests, or southern African galago conservation.",""
"Assessing Ecological Divergence and Speciation Scenarios of the Paragalago zanzibaricus Species Complex Through Climatic Niche Modeling","https://scispace.com/paper/assessing-ecological-divergence-and-speciation-scenarios-of-2l45qn80","2023","Journal Article","International Journal of Primatology","Evan Miller
Averee M. Luhrs
Amanda N. Mancini
Mary E. Blair
Luca Pozzi","10.1007/s10764-023-00374-7","https://par.nsf.gov/servlets/purl/10510335","- **Relevance Score:** 25/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses niche modeling to infer divergence of Paragalago zanzibaricus, providing East African dwarf galago systematics. Touches on forest climate history, but lacks coalescent analyses, marker details, and southern African focus.",""
"Coalescent models reveal the relative roles of ancestral polymorphism, vicariance, and dispersal in shaping phylogeographical structure of an African montane forest …","https://scispace.com/paper/7wOlhn9u6f0J","","","","RCK Bowie
J Fjeldså
SJ Hackett
JM Bates","","https://www.academia.edu/download/92287816/Bowie_RobinModel_MPE06.pdf","- **Relevance Score:** 25/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses coalescent models to infer forest‑wide lineage histories, matching East African montane phylogeography and refugia focus; lacks primate, dwarf galago, and conservation genetics specifics.",""
