"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Ultraconserved elements resolve phylogenetic relationships and biogeographic history of African-Malagasy bent-winged bats (Miniopterus).","https://scispace.com/paper/37517508","2023","Journal Article","Molecular phylogenetics and evolution","Demos
Webala
Goodman
Kerbis Peterhans
Lutz
Agwanda
Cortés-Delgado
Briones
Ree
Patterson","10.1016/j.ympev.2023.107890","","African-Malagasy species of the bat genus Miniopterus are notable both for the dramatic increase in the number of newly recognized species over the last 15 years, as well as for the profusion of new taxa from Madagascar and the neighboring Comoros. Since 2007, seven new Malagasy Miniopterus species have been described compared to only two new species since 1936 from the Afrotropics. The conservative morphology of Miniopterus and limited geographic sampling in continental Africa have undoubtedly contributed to the deficit of continental species. In addition to uncertainty over species limits, phylogenetic relationships of Miniopterus remain mostly unresolved, particularly at deeper backbone nodes. Previous phylogenetic studies were based on limited taxon sampling and/or limited genetic sampling involving no more than five loci. Here, we conduct the first phylogenomic study of the Afrotropical Miniopteridae by analyzing up to 3772 genome-wide ultraconserved elements (UCEs) from historic and modern samples of 70 individuals from 25 Miniopterus species/lineages. We analyze multiple datasets of varying degrees of completeness (70, 90, and 100 percent complete) using partitioned concatenated maximum likelihood and multispecies coalescent methods. Our well-supported, species-level phylogenies resolved most (6/8 or 7/8) backbone nodes and strongly support for the first time the monophyly of the Malagasy radiation. We inferred the crown age of African Miniopteridae in the late Miocene (10.4 Ma), while the main lineages of Miniopterus appear to have contemporaneously diversified in two sister radiations in the Afrotropics and Madagascar. Species-level divergence of 23 of 25 African + Malagasy Miniopterus were estimated to have 95 % HPDs that overlap with the late Miocene (5.3-10.4 Ma). We present ancestral range estimates that unambiguously support a continental African radiation that originated in the Zambezian and Somalian/Ethiopian biogeographic regions, but we cannot rule out back colonization of Africa from Madagascar. The phylogeny indicates genetic support for up to seven new species."
"The genomic diversity of the Eliurus genus in northern Madagascar with a putative new species.","https://scispace.com/paper/38128795","2024","Journal Article","Molecular phylogenetics and evolution","Sgarlata
Rasolondraibe
Salmona
Le Pors
Ralantoharijaona
Rakotonanahary
Jan
Manzi
Iribar
Zaonarivelo
Volasoa Andriaholinirina
Rasoloharijaona
Chikhi","10.1016/j.ympev.2023.107997","","Madagascar exhibits extraordinarily high level of species richness and endemism, while being severely threatened by habitat loss and fragmentation (HL&F). In front of these threats to biodiversity, conservation effort can be directed, for instance, in the documentation of species that are still unknown to science, or in investigating how species respond to HL&F. The tufted-tail rats genus (Eliurus spp.) is the most speciose genus of endemic rodents in Madagascar, with 13 described species, which occupy two major habitat types: dry or humid forests. The large species diversity and association to specific habitat types make the Eliurus genus a suitable model for investigating species adaptation to new environments, as well as response to HL&F (dry vs humid). In the present study, we investigated Eliurus spp. genomic diversity across northern Madagascar, a region covered by both dry and humid fragmented forests. From the mitochondrial DNA (mtDNA) and nuclear genomic (RAD-seq) data of 124 Eliurus individuals sampled in poorly studied forests of northern Madagascar, we identified an undescribed Eliurus taxon (Eliurus sp. nova). We tested the hypothesis of a new Eliurus species using several approaches: i) DNA barcoding; ii) phylogenetic inferences; iii) species delimitation tests based on the Multi-Species Coalescent (MSC) model, iv) genealogical divergence index (gdi); v) an ad-hoc test of isolation-by-distance within versus between sister-taxa, vi) comparisons of %GC content patterns and vii) morphological analyses. All analyses support the recognition of the undescribed lineage as a putative distinct species. In addition, we show that Eliurus myoxinus, a species known from the dry forests of western Madagascar, is, surprisingly, found mostly in humid forests in northern Madagascar. In conclusion, we discuss the implications of such findings in the context of Eliurus species evolution and diversification, and use the distribution of northern Eliurus species as a proxy for reconstructing past changes in forest cover and vegetation type in northern Madagascar."
"Molecular Evidence Supports Five Lineages within ","https://scispace.com/paper/37510215","2023","Journal Article","Genes","Carneiro
Sampaio
Silva-Júnior
Martins-Junior
Farias
Hrbek
Boubli
Schneider","10.3390/genes14071309","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10379672/pdf","Pitheciines have unique dental specializations among New World monkeys that allow them to feed on fruits with hard pericarps, thus playing a major role as seed predators. The three extant pitheciine genera, "
"Phylogenomic branch length estimation using quartets.","https://scispace.com/paper/37387151","2023","Journal Article","Bioinformatics (Oxford, England)","Tabatabaee
Zhang
Warnow
Mirarab","10.1093/bioinformatics/btad221","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10311336/pdf","Branch lengths and topology of a species tree are essential in most downstream analyses, including estimation of diversification dates, characterization of selection, understanding adaptation, and comparative genomics. Modern phylogenomic analyses often use methods that account for the heterogeneity of evolutionary histories across the genome due to processes such as incomplete lineage sorting. However, these methods typically do not generate branch lengths in units that are usable by downstream applications, forcing phylogenomic analyses to resort to alternative shortcuts such as estimating branch lengths by concatenating gene alignments into a supermatrix. Yet, concatenation and other available approaches for estimating branch lengths fail to address heterogeneity across the genome."
"A New Assessment of Robust Capuchin Monkey (","https://scispace.com/paper/37239330","2023","Journal Article","Genes","Martins
Valença-Montenegro
Lima
Lynch
Svoboda
Silva-Júnior
Röhe
Boubli
Fiore","10.3390/genes14050970","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10218464/pdf","Robust capuchin monkeys, "
"The genome of the pygmy right whale illuminates the evolution of rorquals.","https://scispace.com/paper/37041515","2023","Journal Article","BMC biology","Wolf
Zapf
Gupta
Hiller
Árnason
Janke","10.1186/s12915-023-01579-1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10091562/pdf","Baleen whales are a clade of gigantic and highly specialized marine mammals. Their genomes have been used to investigate their complex evolutionary history and to decipher the molecular mechanisms that allowed them to reach these dimensions. However, many unanswered questions remain, especially about the early radiation of rorquals and how cancer resistance interplays with their huge number of cells. The pygmy right whale is the smallest and most elusive among the baleen whales. It reaches only a fraction of the body length compared to its relatives and it is the only living member of an otherwise extinct family. This placement makes the pygmy right whale genome an interesting target to update the complex phylogenetic past of baleen whales, because it splits up an otherwise long branch that leads to the radiation of rorquals. Apart from that, genomic data of this species might help to investigate cancer resistance in large whales, since these mechanisms are not as important for the pygmy right whale as in other giant rorquals and right whales."
"Late Cenozoic history and the role of Beringia in assembling a Holarctic cestode species complex.","https://scispace.com/paper/36972794","2023","Journal Article","Molecular phylogenetics and evolution","Galbreath
Makarikov
Bell
Greiman
Allen
Haas
Li
Cook
Hoberg","10.1016/j.ympev.2023.107775","","The dynamic climate history that drove sea level fluctuation during past glacial periods mediated the movement of organisms between Asia and North America via the Bering Land Bridge. Investigations of the biogeographic histories of small mammals and their parasites demonstrate facets of a complex history of episodic geographic colonization and refugial isolation that structured diversity across the Holarctic. We use a large multi-locus nuclear DNA sequence dataset to robustly resolve relationships within the cestode genus Arostrilepis (Cyclophyllidea: Hymenolepididae), a widespread parasite of predominantly arvicoline rodents (voles, lemmings). Using this phylogeny, we confirm that several Asian Arostrilepis lineages colonized North America during up to four distinct glacial periods in association with different rodent hosts, consistent with taxon-pulse dynamics. A previously inferred westward dispersal across the land bridge is rejected. We also refine interpretations of past host colonization, providing evidence for several distinct episodes of expanding host range, which probably contributed to diversification by Arostrilepis. Finally, Arostrilepis is shown to be paraphyletic with respect to Hymenandrya thomomyis, a parasite of pocket gophers, confirming that ancient Arostrilepis species colonized new host lineages upon arriving in North America."
"Power of Bayesian and Heuristic Tests to Detect Cross-Species Introgression with Reference to Gene Flow in the Tamias quadrivittatus Group of North American Chipmunks.","https://scispace.com/paper/36504374","2023","Journal Article","Systematic biology","Ji
Jackson
Leaché
Yang","10.1093/sysbio/syac077","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10275556/pdf","In the past two decades, genomic data have been widely used to detect historical gene flow between species in a variety of plants and animals. The Tamias quadrivittatus group of North America chipmunks, which originated through a series of rapid speciation events, are known to undergo massive amounts of mitochondrial introgression. Yet in a recent analysis of targeted nuclear loci from the group, no evidence for cross-species introgression was detected, indicating widespread cytonuclear discordance. The study used the heuristic method HYDE to detect gene flow, which may suffer from low power. Here we use the Bayesian method implemented in the program BPP to re-analyze these data. We develop a Bayesian test of introgression, calculating the Bayes factor via the Savage-Dickey density ratio using the Markov chain Monte Carlo (MCMC) sample under the model of introgression. We take a stepwise approach to constructing an introgression model by adding introgression events onto a well-supported binary species tree. The analysis detected robust evidence for multiple ancient introgression events affecting the nuclear genome, with introgression probabilities reaching 63%. We estimate population parameters and highlight the fact that species divergence times may be seriously underestimated if ancient cross-species gene flow is ignored in the analysis. We examine the assumptions and performance of HYDE and demonstrate that it lacks power if gene flow occurs between sister lineages or if the mode of gene flow does not match the assumed hybrid-speciation model with symmetrical population sizes. Our analyses highlight the power of likelihood-based inference of cross-species gene flow using genomic sequence data. [Bayesian test; BPP; chipmunks; introgression; MSci; multispecies coalescent; Savage-Dickey density ratio.]."
"Systematics of the New World bats Eptesicus and Histiotus suggest trans-marine dispersal followed by Neotropical cryptic diversification.","https://scispace.com/paper/35810969","2022","Journal Article","Molecular phylogenetics and evolution","Yi
Latch","10.1016/j.ympev.2022.107582","","Biodiversity can be boosted by colonization of new habitats such as remote islands and separated continents. Molecular studies have suggested that recently evolved organisms probably colonized already separated continents by dispersal, either via land bridge connections or crossing the ocean. Here we test the on-land and trans-marine dispersal hypotheses by evaluating possibilities of colonization routes over the Bering land bridge and across the Atlantic Ocean in the cosmopolitan bat genus Eptesicus (Chiroptera, Vespertilionidae). Previous molecular studies have found New World Eptesicus more closely related to Histiotus, a Neotropical endemic lineage with enlarged ears, than to Old World Eptesicus. However, phylogenetic relationships within the New World group remained unresolved and their evolutionary history was unclear. Here we studied the systematics of New World Eptesicus and Histiotus using extensive taxonomic and geographic sampling, and genomic data from thousands of ultra-conserved elements (UCEs). We estimated phylogenetic trees using concatenation and multispecies coalescent. All analyses supported four major New World clades and a novel topology where E. fuscus and Histiotus are sister clades that together diverged from two sister clades of Neotropical Eptesicus. Intra-clade divergence suggested cryptic diversity that has been concealed by morphological features, especially in the Neotropics where taxonomic re-evaluations are warranted. Molecular dating estimated that Old World and New World clades diverged around 17 million years ago followed by radiation of major New World clades in the mid-Miocene, when climatic changes might have facilitated global dispersal and radiation events. Biogeographic ancestral reconstruction supported the Neotropical origin of the New World clades, suggesting a trans-Atlantic colonization route from North Africa to the northern Neotropics. We highlight that trans-marine dispersal may be more prevalent than currently acknowledged and may be an important first step to global biodiversification."
"Effects of discordance between species and gene trees on phylogenetic diversity conservation.","https://scispace.com/paper/36482146","2022","Journal Article","Journal of mathematical biology","Wicke
Fischer
Kubatko","10.1007/s00285-022-01845-w","","Phylogenetic diversity indices such as the Fair Proportion (FP) index are frequently discussed as prioritization criteria in biodiversity conservation. They rank species according to their contribution to overall diversity by taking into account the unique and shared evolutionary history of each species as indicated by its placement in an underlying phylogenetic tree. Traditionally, phylogenetic trees were inferred from single genes and the resulting gene trees were assumed to be a valid estimate for the species tree, i.e., the ""true"" evolutionary history of the species under consideration. However, nowadays it is common to sequence whole genomes of hundreds or thousands of genes, and it is often the case that conflicting genealogical histories exist in different genes throughout the genome, resulting in discordance between individual gene trees and the species tree. Here, we analyze the effects of gene and species tree discordance on prioritization decisions based on the FP index. In particular, we consider the ranking order of taxa induced by (i) The FP index on a species tree, and (ii) The expected FP index across all gene tree histories associated with the species tree. On the one hand, we show that for particular tree shapes, the two rankings always coincide. On the other hand, we show that for all leaf numbers greater than or equal to five, there exist species trees for which the two rankings differ. Finally, we illustrate the variability in the rankings obtained from the FP index across different gene tree and species tree estimates for an empirical multilocus mammal data set."
